x,y_(ТЦ2м_Em650.txt),y_(ТЦ2м_Em425.txt),y_(ТЦ2м_Em370.txt),y_(ТЦ2м_Em405.txt)
385,,,0.628536,
386,,,0.616038,
387,,,0.610378,
388,,,0.607652,
389,,,0.607470,
390,,,0.611046,
391,,,0.615239,
392,,,0.627744,
393,,,0.643841,
394,,,0.652543,
395,,,0.658820,
396,,,0.671876,
397,,,0.684701,
398,,,0.691079,
399,,,0.699183,
400,,,0.703780,
401,,,0.705343,
402,,,0.709861,
403,,,0.713265,
404,,,0.721479,
405,,,0.737107,
406,,,0.748847,
407,,,0.754336,
408,,,0.763043,
409,,,0.774025,
410,,,0.779041,
411,,,0.791376,
412,,,0.804718,
413,,,0.816011,
414,,,0.830564,
415,,,0.840488,
416,,,0.846487,
417,,,0.848005,
418,,,0.847325,
419,,,0.843925,
420,,,0.843325,
421,,,0.840053,
422,,,0.828735,
423,,,0.825753,
424,,,0.825258,
425,,,0.821857,
426,,,0.822064,
427,,,0.821257,
428,,,0.825497,
429,,,0.828344,
430,,,0.822339,
431,,,0.817500,
432,,,0.816633,
433,,,0.817478,
434,,,0.817978,
435,,,0.817395,
436,,,0.817803,
437,,,0.813524,
438,,,0.806312,
439,,,0.802959,
440,,,0.798985,
441,,,0.795304,
442,,,0.791154,
443,,,0.788533,
444,,,0.786202,
445,,,0.780359,
446,,,0.775953,
447,,,0.773462,
448,,,0.775373,
449,,,0.775044,
450,,,0.768721,
451,,,0.763966,
452,,,0.757028,
453,,,0.748313,
454,,,0.744776,
455,,,0.744423,
456,,,0.739666,
457,,,0.729752,
458,,,0.723556,
459,,,0.721376,
460,,,0.714774,
461,,,0.706402,
462,,,0.698463,
463,,,0.691761,
464,,,0.688866,
465,,,0.686212,
466,,,0.677826,
467,,,0.668172,
468,,,0.661902,
469,,,0.652539,
470,,,0.644340,
471,,,0.635186,
472,,,0.624483,
473,,,0.620488,
474,,,0.612610,
475,,,0.600242,
476,,,0.596189,
477,,,0.589228,
478,,,0.580810,
479,,,0.575989,
480,,,0.567035,
481,,,0.557162,
482,,,0.548422,
483,,,0.541944,
484,,,0.538623,
485,,,0.532870,
486,,,0.522276,
487,,,0.518004,
488,,,0.514301,
489,,,0.504870,
490,,,0.499204,
491,,,0.496767,
492,,,0.490632,
493,,,0.481315,
494,,,0.475719,
495,,,0.468248,
496,,,0.465267,
497,,,0.464892,
498,,,0.458001,
499,,,0.450965,
500,,,0.447049,
501,,,0.442643,
502,,,0.437835,
503,,,0.431707,
504,,,0.424577,
505,,,0.422130,
506,,,0.418876,
507,,,0.414001,
508,,,0.406790,
509,,,0.400130,
510,,,0.399274,
511,,,0.396854,
512,,,0.389401,
513,,,0.381350,
514,,,0.375531,
515,,,0.371313,
516,,,0.366895,
517,,,0.366825,
518,,,0.361747,
519,,,0.352407,
520,,,0.348448,
521,,,0.342852,
522,,,0.340470,
523,,,0.336117,
524,,,0.331087,
525,,,0.330083,
526,,,0.323192,
527,,,0.315350,
528,,,0.311690,
529,,,0.309911,
530,,,0.303336,
531,,,0.295887,
532,,,0.296748,
533,,,0.295906,
534,,,0.289978,
535,,,0.287037,
536,,,0.285205,
537,,,0.282817,
538,,,0.280370,
539,,,0.279276,
540,,,0.276226,
541,,,0.273049,
542,,,0.273512,
543,,,0.269403,
544,,,0.264502,
545,,,0.265688,
546,,,0.266738,
547,,,0.268594,
548,,,0.268760,
549,,,0.266843,
550,,,0.264983,
551,,,0.264096,
552,,,0.267602,
553,,,0.262341,
554,,,0.252434,
555,,,0.248429,
556,,,0.247261,
557,,,0.245596,
558,,,0.241445,
559,,,0.236733,
560,,,0.236317,
561,,,0.238366,
562,,,0.234748,
563,,,0.232004,
564,,,0.229131,
565,,,0.223506,
566,,,0.219972,
567,,,0.211595,
568,,,0.203754,
569,,,0.199303,
570,,,0.194965,
571,,,0.192890,
572,,,0.192403,
573,,,0.189775,
574,,,0.186989,
575,,,0.187263,
576,,,0.185442,
577,,,0.180156,
578,,,0.175451,
579,,,0.175168,
580,,,0.173708,
581,,,0.169787,
582,,,0.162841,
583,,,0.158819,
584,,,0.159959,
585,,,0.157936,
586,,,0.151621,
587,,,0.146742,
588,,,0.145073,
589,,,0.140015,
590,,,0.137363,
591,,,0.141849,
592,,,0.146350,
593,,,0.143180,
594,,,0.138503,
595,,,0.136768,
596,,,0.133439,
597,,,0.134766,
598,,,0.134896,
599,,,0.132989,
600,,0.076531,0.132167,0.102142
601,,0.077548,0.132898,0.100551
602,,0.077672,0.135991,0.100446
603,,0.075878,0.134069,0.102024
604,,0.076070,0.130125,0.102604
605,,0.079017,0.128802,0.100346
606,,0.079324,0.130387,0.098555
607,,0.078416,0.131226,0.098940
608,,0.079582,0.130439,0.098383
609,,0.080422,0.133370,0.100934
610,,0.082956,0.135497,0.105115
611,,0.087124,0.136220,0.105594
612,,0.088340,0.136021,0.106570
613,,0.088982,0.132531,0.106550
614,,0.092369,0.133633,0.110342
615,,0.094986,0.135618,0.115643
616,,0.097577,0.136145,0.116746
617,,0.101583,0.137192,0.117022
618,,0.100608,0.140315,0.122315
619,,0.103587,0.144486,0.131224
620,,0.110044,0.145178,0.130537
621,,0.113902,0.147597,0.130102
622,,0.116615,0.153432,0.136525
623,,0.117879,0.155018,0.141162
624,,0.119234,0.157847,0.142687
625,,0.120303,0.157761,0.144908
626,,0.125905,0.158005,0.149981
627,,0.130893,0.165094,0.157463
628,,0.135683,0.166114,0.161110
629,,0.140701,0.166399,0.166750
630,,0.148453,0.168602,0.178524
631,,0.161336,0.169869,0.188428
